"Privilege Parent Group","Privilege Parent GroupID","Privilege Name","Privilege ID","Privilege Description","HEDC_DAAS_Admin","HEDC_DBA","HEDC_ITSM_Admins","HEDC_Networking","HEDC_Operations","HEDC_Operations_wProvision","HEDC_Printer_admins","HEDC_SCOIN_CM","HEDC_SCPT_Admins","HEDC_SCPT_Admins_Test"
"CertificateAuthority","CertificateAuthority","Administer","CertificateAuthority.Administer","Administer","False","False","False","False","False","False","False","False","False","False"
"Lifecycle Manager: Settings Privileges","VcIntegrity.lifecycleSettings","Write","VcIntegrity.lifecycleSettings.Write","Write privilege for Lifecycle Manager Settings","False","False","False","False","False","False","False","False","False","False"
"SettingsStore","SettingsStore","Manage","SettingsStore.Manage","Manage","False","False","False","False","False","False","False","False","False","False"
"Tagging","InventoryService.Tagging","ObjectAttachable","InventoryService.Tagging.ObjectAttachable","ObjectAttachable","True","True","True","True","True","True","True","True","True","True"
"Permissions","Authorization","Modify privilege","Authorization.ModifyPrivileges","Modify a privilege's group or description","False","False","False","False","False","False","False","False","False","False"
"Profile-driven storage","StorageProfile","Profile-driven storage update","StorageProfile.Update","Profile-driven storage update","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Evict subscribed library","ContentLibrary.EvictSubscribedLibrary","Evict the cached content of a subscribed library","False","False","False","False","False","False","False","False","False","False"
"Manage Baseline","VcIntegrity.Baseline","Attach Baseline","VcIntegrity.Baseline.com.vmware.vcIntegrity.AssignBaselines","Attach baselines to an object in the vSphere inventory.","False","False","False","False","False","False","False","False","False","False"
"VcIdentityProviders","VcIdentityProviders","Create","VcIdentityProviders.Create","Create","False","False","False","False","False","False","False","False","False","False"
"Manage Patches and Upgrades","VcIntegrity.Updates","Scan for Applicable Patches, Extensions, and Upgrades","VcIntegrity.Updates.com.vmware.vcIntegrity.Scan","Scan virtual machines, virtual appliances, and hosts to search for applicable patches, extensions, or upgrades.","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Delete subscribed library","ContentLibrary.DeleteSubscribedLibrary","Delete a subscribed library","False","False","False","False","False","False","False","False","False","False"
"Profile-driven storage","StorageProfile","Profile-driven storage view","StorageProfile.View","Profile-driven storage view","False","False","False","False","False","False","False","False","False","False"
"VcLifecycle","VcLifecycle","Upgrade","VcLifecycle.Upgrade","Upgrade","False","False","False","False","False","False","False","False","False","False"
"ComputePolicy","ComputePolicy","Manage","ComputePolicy.Manage","Manage","False","False","False","False","False","False","False","False","False","False"
"Nsx","Nsx","Read","Nsx.Read","Read","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Import storage","ContentLibrary.ImportStorage","Import storage to a library item","False","False","False","False","False","False","False","False","False","False"
"Plugin","Plugin","Management","Plugin.Management","Management","False","False","False","False","False","False","False","False","False","False"
"VirtualMachineClasses","VirtualMachineClasses","Manage","VirtualMachineClasses.Manage","Manage","False","False","False","False","False","False","False","False","False","False"
"TransferService","TransferService","Manage","TransferService.Manage","Manage","False","False","False","False","False","False","False","False","False","False"
"Storage views","StorageViews","Configure service","StorageViews.ConfigureService","Allows changing server configuration such as the reports update interval and database connectivity information","False","False","False","False","False","False","False","False","False","False"
"Profile","ImageBuilder.Profile","Create","ImageBuilder.Profile.Create","Create","False","False","False","False","False","False","False","False","False","False"
